Serial # & Vote Code (Commitment),Serial # & Vote Code (Plaintext),Serial # & Vote Code (Decommitment),Print Check (Commitment),Print Check (Plaintext),Print Check (Decommitment),Possible Vote (Commitment),Possible Vote (Plaintext),Possible Vote (Decommitment),Marked As Voted (Commitment),Marked As Voted (Plaintext),Marked As Voted (Decommitment),Pre-draw Summand A  (Commitment),Pre-draw Summand A  (Plaintext),Pre-draw Summand A  (Decommitment),Pre-draw Summand B  (Commitment),Pre-draw Summand B  (Plaintext),Pre-draw Summand B  (Decommitment),Final Summand A (Commitment),Final Summand A (Plaintext),Final Summand A (Decommitment),Final Summand B (Commitment),Final Summand B (Plaintext),Final Summand B (Decommitment)
Re4fo6wiX7nR8utRJULXDkP9z6MUE6ni9wPE2+2BiDY=,,,zMeWXyPPAXyV+tJrZr1tZgdYJH6ciJmsJKwmnEMbwjQ=,,,SeK6If3usCnQ/YFC7vT3rc+tqCPlDIfZcr2WFciWpm4=,No,Wgb22bm2HTb0SAmgzY3IjqhTo6uu8hVv0rm3j+ykqAg=,txnS36oU3wUrhseuk3zcytwJgh6gmH+dmVBwuUJsF+k=,Not voted,Pk6sn4YUJXsZOhSx2h3/4w3DEWWm+R9ynNQN11mjdgo=,sdYO594UnnBSnIFJ365e/cBKCKZ5+2g+XfeEsrtsRM8=,3768,hp+vSinmU0fY3UZnKOhM0GwTpd+kWaWCk+xeNpd2cto=,qvwSmWNLx/6yXeHB33odboClqHwu5wVTEXbV7P9JnNQ=,,,35450ID9o77wBQUn15h79+JDrFJj3K1KnAIEOjznOok=,7771,tbsTiqPvF6XpweyCq4rbptee85sjH8pyJnvlF/Y3QRQ=,LMlakl5yq748Yjyt9wjw6ovOYplbZxKOF1KZ7qHA3iM=,,
c0wAgVn9V0A9/x6F1/f6ccG8/VFlKGPrGVPp95hFWac=,,,cCo6k5l1a32ajGRVVUd2OKoWGmqHdUF2PU3toryR+4M=,,,VZp3DgBcwdNlxP+UfxCO6qpuQxp9We8N5b0Jwp84lP4=,No,6jOtEk4Y6YRzp93evoCu+tvuxSoqzO0EhCzg8CASvMk=,Y02yv9l21eoYQf//OdRWQ/Ouoeu6x6+R7az1SbeI36A=,Voted,yzaQsiI2kpbqqD3JMYtOdh4xZigCcg5r3CnaO6Tza+s=,rznd6EOXTPXOrHWRgr7JlNi/VURa7Ibh3ZBRCXHJmPU=,4414,PTZwgvr1GSev8UoBqLR7eB151f0XVYNttzo2La+Hv0g=,Z3OE2YK7xYBOB2TTREe9E4DOv+Paa90VYRS7AgaI+tY=,,,AufiR20/93iPgRTR+ApVmELzmq9ymScXn6syAHhdyiU=,5772,9Qy2bMOuG6VoqXP93zwQHoRdeTBEiOdodtGgm7S7Z6Y=,MhlEWQZb4xT8RJksnVkQc8BjCC4/7m1oMnqmDN92/DE=,,
cHxoSHXQqbwCG+1xnjCnaAZelujWVEYH33YStSPgQ4w=,,,tJvUaY5C0Ct5lwXgM4MWkIbaVAQeIhORlBnr49QRcuE=,,,e9ccT4Z8ST3v7cKl/2gZn2J6nRr1tH2onkb3iNageqk=,Yes,z/rYEbH4VkDAVZlFFIsUMA5tflcRZIFevkFYSFQS7z8=,TOEvYMezUBg4YzlMNmbSeSw+LDHkvsVQ6JYjQTlsd+c=,Not voted,ycLN+e6K6UD1aMcnO4CAn4nKzE7A7zPs/a7N2S9xbsE=,pZLaEKVxcRgVBnE/N6ecadjbropZF/880OFcLdaCYak=,6695,TiIF0EX4efwF4yBJQ5SnzeGUBzoQ5jc1iqZrV99+S2Q=,I3O90cmEJrOr8QIV1mw7RU5JTwIpp0xrkCF9/rLqneY=,,,gHfncsDF7qSs9BIu/Z7DJtm9MgyWciqxxdV/oGc6NZc=,3019,HCM6cGiIu/XdeOrdJq1hhZvAIKRbWJkseyEuaSdn+bo=,c4HPv34PFAilD2tCpx26KIULimhn0ogXP9bdzZHyI7c=,,
riTQxmDt8iLLFhdjSaUEXbCmC0Aqzy98GS6vRF5too0=,,,lyRfpM1RqcIu6v8fPqY2c+mcNBm4TI1ey35Yfq+he5E=,,,42vhQNgxMQju25B9ALFBGNDAajkIALBkj1+4QiWCFWs=,Yes,BjYoe6HHnEyUui1+ko5nKNSOq5DKVgo74ZYZE5puRlw=,38USNMwZHP274f14nYY/GyIvIYtlGHtAETh7T0DgF7k=,Voted,NZAh1eDZ2ZwIAVpLEBblMY8PIBl1q0Yjsml3KWI6cj8=,j2X3BeWfSOVoEpALsKnre3bVHD/IoTcn8bDt2/I2mwo=,4147,/CB+/t8RX0EdEt5/zM8jNE6oG9WPITNDid3MaQFIEFc=,cybT8g+a22Yg0EIGgYM7QIxGS+lZZFJifgcq2fR5MHI=,,,auefjnl5p8ANosS4lKY7k7dVq6fgmVW+NnLCyIHTxyc=,5159,0GaWSfVFfYmvEYCpoSacoXmwz6NyJ0csoPCPMdZPK00=,3yNI2MckRy0uC8hfvmNrO+1iz8FmxTbUkB6GWW0ldvE=,,
Yq8BChcoE6QWpQV4Y816+rQlqlYcQw0RnxBBD6LGQ+Q=,,,5CeDxl7mx4OD6oNxCa3Eglw9XW/P+WA85JWSlGQnPXw=,,,yyRlm5w+RVjO0gZWsAlcznCfowGz8e3rcoa2ZnV2l38=,No,mVjM39uPrrauHInL2owoJfmRC2kbRzus4jPHmRQt0g4=,qJUVL+g2Hu/pAFxj1SOqisBv1aG0uCqixBTyMHgY77A=,Not voted,91gDTvPSY5GzR9lA1Fw2tnH/LhliqUfwi5RvsHFc1fY=,CLvCmjnrjqj7ucBQgIgmB3oZm2U9H4gVE9UKny+gScE=,8371,ItjxnWIXNaw/r8N8Xr6dgoysYde/iEWClKCmlEjoIAQ=,TOv8ST96mo3kSrR+wQD3NUGvbhiWQoGBXx9c4i/2kAM=,,,89As491konMy9iBku195IHJtO5rczLBQ6Hds/KPgcMI=,7804,atnaXjpldHefpJSKU9E/+7prqvKYVMrNNBADdFuAfzc=,9x7SN55RsMYTzxvTQ8wZqHws9Pepm375EnKXXbwEqdc=,,
4cA8xT1Uif3EhfBzdqCcIq5Dc6rv8djGKdChS5H+b5w=,,,Ud0FyFX0AcS32e3VNNwq6auytrE2/KFdn/klw1EBUjU=,,,9caAHkM/W79rAvbSCl09DKHupwm9GlWHp8esRaVRM9c=,Yes,TtgUCNWHlmiaV7tS2Lvtx0iPnuc2uZ/P4gJzX0ADyiw=,X+AugdGhHgmRMxsiS/cxNGYeiqaXHv/WSySRAVbEYHs=,Not voted,cABEmKJWnemEANRIw5P8tpN9pmRLC91HTWZE8zErLxs=,cmet7BCkFww7DF/dAbWpvyE+GBpNjcn5XRhsrSlhiiw=,5333,Yu4LNzqZ0kK5W7UzWmtuxECshcn9CFgD/3LnAoo0264=,vaM+wFSntaPHiHm0oTqxnnralaLViCzwjt7IWzMrU+4=,,,/tw0/ksSekD0mL20Gn+/2nVSdRKKuOtoy/vQ4DHpAB0=,9205,vxcZtBExSakJFJgn9fF0ZrEzmNS0l5fK51Mp4Nzmeno=,G6xsveor3RI7WRhwYnYe/eVzMLPeZDeKBIpnLlxr9Pc=,,
UvEyooE4Augi64JiMiaF36OeFcw4CJ6JTX05GWSm5Sk=,,,9YqoYbugCR4u7VPn315/4MDf7A2ehLAwRChhttSnnY8=,,,FiaOJ/5WaM/oZoderle6k53VXn9kUShlIEyLCv0kngc=,No,s+Wm53NKw46M3kjyG2CXOnasponQyUrQV2VU5mScbGA=,RDVQ++31wfL367DSLHLT1FHiBr4OMyZl111cKhKu0cU=,Voted,H7b2fqHkDwSfAR7lJ7GU5Z9wPpKHHSZ1U1GYY50BlxY=,lrhiCcRruCAHtMH/mNwshRe4wm9DtAOlmY2UyIuzFR8=,6855,0IUsLQCDrP1r8JsYHlg58Q2t/s0H/AS+gUnKJc7Z2Ss=,Nww5KDLZvy849PRu3zjTkGdRFos5mx+Y5D0RGwRbU5s=,,,XPQa48Y/lnJK7WFjtrJYuBPZzJgLqJsEzBhrqQ04lEI=,4637,Q7S8cRvOH7cYiQcOSrTJS3oAYE3GfywEG6zMU6V/JaA=,RPmQkjhNnbHICdWa55mUrNRvFHJU/RqCmAJUhOPzoIw=,,
pOXh1uhi1128NdeOHoFddrcwC3NWSCClEyLqcN7ye8U=,,,0p0KNseQkHXbxwY88Zh67JgNrYhYKjszI5U85OeFCYM=,,,d3ZF+5nt69sBr7Hharxr87HHM7iX9MibAzXzYiCeRFY=,Yes,Hpn0lzx3AGt2kzW7P/9+9/XjwmbX7DmA0HER/B25rT8=,h8mY9YDtPIrhAflEwjgi6iDaPmY6vl7AmA0LBc/HaBI=,Voted,DaOBjPPHOatIgPOjKVXdjHl8WxEoU+MdwTImPNpPaxo=,lfv6D3wfcusSwZcb4pwbETp/VG0tUwcIMunlz+HyIzk=,5728,+kSOXKTxYIYio2E/UO2KDewZxHwbjPXxoBGCCeB21M4=,QEq0kLm5nDdrtPQAy9ar2bBeJOc9xAq7LCLpANK4YBQ=,,,t33eh+EzeQtoYObIa4jA6P4woK5qjfQ942KPGQHYf1o=,1783,srvXl9ww/mP8TrjvaiuxeE4gKUGjETw49fRxEWV2Mtk=,8VIQxp8Ta0p2l6z0/f4OT9r4oYHhjUK/gI3xrgG7tXQ=,,
pLOdbX9YRaZjfnvg3x5dKBfE7vLH6/EUok7UfUaMNIg=,,,j2B83wxnTlSowQ7hepyaPRfTrgM4efk40RCFpcmqf2A=,,,TvVOZQvN1TiY3JXHjOhAYFEOPDF1ATI8UiA9RTJuTns=,No,XAxGhZhwUtZiY9e34YHmy91F1L1yXMwfibAXiuNSXc0=,b9ZrTh9x4vLXc6hAL2iqzsK4g5J8SdbmsJ/TNMl+ms8=,Voted,A1DB31Ifg1Ck0TeW/YJsv/6DSCFGkn0Vvt61EThOs8w=,ZIUDxquxCDs1SZmAlDm2DcCXVBmXybZKklQlUaPRziI=,5377,J6elfMptLCMB2UdbOO+8g3qyL9w9Eg6Iyp+8K5BTcjY=,ozGGJS6JbUpd3qAA7ZPGY6xrTE0W2eDnB2cvxpzyIlg=,,,PR1SfmeWElJPJrLpYj2xbeV7USf94p0Ge09y/McxvNw=,7634,ZTCHF+2uVJC1v00ibaCvZpFHiwatnKKYyvivNXAt8po=,lpZKQEHFkp4R4leZrdjnXRPy38VQhHJVDw3R2WyM+5k=,,
t0dnp4R84XRw5wMtW5hVq+dC3URP6VUjDtKd/Q/NNuk=,,,LqS5zE23OhKSdrd+FgZvAYN+hYwa9nlt/0pIdSrZ1eI=,,,Wz4A3QFusdvOcwNMTZFukBarSlsJ5asyk+dKdfl7s+M=,Yes,2QqQx8iQEWkLTjOQItOtxzSU5wefDLW4/YjBYCch89M=,8sh6E40kUZqED6HmYPvT65Rfb3BuflqQ/Lq5Vja0eeo=,Not voted,v4ImyoSAiOrm6r/IGnfDLKHJXoko1roxNO6Uc8YakA8=,zY5ZTQlQokmHgQ9Bt66J0EA/3DWb754Ezy4AZ2RQpWU=,8485,qsgeL2WVjhTvLjwAMTPQMLn8+/gb/CQvWtWqtqkK7W8=,T/fvQ1LZ3mhl8UHjdSR24zLEFdNDVeO20DW2vtUipLU=,,,wzXdLh3Vrv7OQLIh+JHTgFTCNywJDrg6LBTP/ji8+5w=,3831,KEhdL9dBLgKSbJomu3b3PmeXemUbBPPj/JEcmJtUPB0=,+LaqLl2TLfBwuuJwBWX2oGAIh3DtdOX+Bg9jdSgSaFE=,,
